"Name","Relative Likelihood"
"SPECIAL",3
"SPENCER",3
"STANLY",3
"STEWART",3
"TACKSON",3
"TANAZIO",3
"TAWANDA",3
"TEMBA",3
"TENDAI",3
"TENSON",3
"TERENCE",3
"THAPSON",3
"TOLOKA",3
"TOMAS",3
"TONY",3
"TREVOR",3
"TRYFORD",3
"TUCKSON",3
"VASCO",3
"VOSTER",3
"WALUBITA",3
"WESLEY",3
"WILFORD",3
"WINFORD",3
"WINFRED",3
"YANDIKANI",3
"YASIN",3
"YOTAMU",3
"ZIKONDEYANI",3
"ABBREY",2
"ABIASON",2
"ABINELI",2
"ABISON",2
"ABSTINE",2
"ABUTE",2
"ACKANI",2
"ACKFORD",2
"ACKRIEL",2
"ACROBERT",2
"ADMON",2
"ADRIANO",2
"AGAPE",2
"AGRIPPA",2
"AIBERT",2
"AKALAS",2
"ALADON",2
"ALAITA",2
"ALDO",2
"ALEXIOUS",2
"ALI",2
"ALICKAJELO",2
"ALINANI",2
"ALISTALIKO",2
"ALIUDI",2
"ALLINAN",2
"ALLOYS",2
"ALVA",2
"AMBROSE",2
"AMOSI",2
"ANASTAZIO",2
"ANDFORD",2
"ANDRIA",2
"ANDSON",2
"ANGSON",2
"ANIVA",2
"ANNOLD",2
"ANSHEL",2
"ANTONIA",2
"AOBINO",2
"APIAS",2
"ARIUS",2
"ARMY",2
"ARON",2
"ARTONY",2
"ASFORD",2
"ASHID",2
"ASPAR",2
"ASTONE",2
"ASWELI",2
"ATRAY",2
"AUDERN",2
"AULELIANO",2
"AUSTERN",2
"AUXENSIO",2
"AVULUNDIYA",2
"AXENSIO",2
"AYULIS",2
"BACKSTONE",2
"BAIDONI",2
"BANDA",2
"BARTHOLOMEO",2
"BASILA",2
"BATHROMEO",2
"BATIZANI",2
"BATRA",2
"BAZALA",2
"BEATRICE",2
"BECELL",2
"BEDWIN",2
"BEFANI",2
"BELT",2
"BENEDICTO",2
"BENFORD",2
"BENJAMINI",2
"BERO",2
"BESAM",2
"BETHANIA",2
"BETRAM",2
"BEULA",2
"BEWEDY",2
"BHAVIN",2
"BIG",2
"BIGFELLOW",2
"BILIAT",2
"BILL",2
"BILLIONS",2
"BISA",2
"BISALOMU",2
"BISET",2
"BITWELL",2
"BIYA",2
"BLACK",2
"BLELIOT",2
"BOAS",2
"BOB",2
"BODDAS",2
"BOLDWIN",2
"BOLLENI",2
"BONGANI",2
"BONWEL",2
"BORN",2
"BOSTAGE",2
"BOTHA",2
"BOUNAVENTURE",2
"BRASON",2
"BRENDA",2
"BRIDGET",2
"BRINO",2
"BRITIAS",2
"BROADWELL",2
"BUCHILA",2
"BUNDUKULANI",2
"BUSIKU",2
"BUXTON",2
"CALLORINA",2
"CAMLON",2
"CAPHES",2
"CARISTO",2
"CARRIGTON",2
"CASIAS",2
"CASPER",2
"CENTROS",2
"CHABOTA",2
"CHAISONI",2
"CHALIMORE",2
"CHALWE",2
"CHAMBADZANA",2
"CHAMPA",2
"CHAMWINA",2
"CHANDI",2
"CHAPASUKA",2
"CHAPONDA",2
"CHARITY",2
"CHARPIE",2
"CHEMBE",2
"CHENGA",2
"CHEWE",2
"CHIBANGA",2
"CHIFUMU",2
"CHIKA",2
"CHIKHOLA",2
"CHIKOTI",2
"CHILALA",2
"CHILEYA",2
"CHILOWENI",2
"CHIMBA",2
"CHINGALABA",2
"CHINGULA",2
"CHIPI",2
"CHISANGA",2
"CHISENGA",2
"CHISONE",2
"CHISUWA",2
"CHITAMBO",2
"CHIZO",2
"CHOMBA",2
"CHOONGO",2
"CHRISTOPER",2
"CHRSPINE",2
"CISOL",2
"CLARKSON",2
"CLAVEN",2
"CLEBLE",2
"CLETUS",2
"CLOUDY",2
"COILARD",2
"COIN",2
"COLLENCE",2
"COLLINGTON",2
"COMFORT",2
"CONELIAS",2
"CONSTANTINO",2
"CORI",2
"CORNELIUS",2
"CORTWELL",2
"COSMOS",2
"COSTANTINO",2
"COURAGE",2
"CRAYTON",2
"CRISSY",2
"CROXLEY",2
"CRYSON",2
"CUSTOM",2
"CYPRIAN",2
"DAIMAN",2
"DALIO",2
"DALPHINE",2
"DAMAS",2
"DAMBER",2
"DAMIER",2
"DANIAL",2
"DANISO",2
"DANY",2
"DARSON",2
"DASSON",2
"DAUTI",2
"DAVIDSON",2
"DEAN",2
"DECKLINE",2
"DELSON",2
"DEREK",2
"DESCENT",2
"DEVAN",2
"DEVERIOUS",2
"DEVRICKS",2
"DEXTER",2
"DIAMOND",2
"DILA",2
"DIMUS",2
"DIVAISON",2
"DOBIAS",2
"DOMIAMO",2
"DOMONIC",2
"DONARD",2
"DONIVAN",2
"DOUBT",2
"DUBAN",2
"DUNKEN",2
"DZUMANI",2
"EBISON",2
"ECKIAS",2
"EDIGAR",2
"EDITH",2
"EDWELL",2
"EFAEL",2
"EFFORD",2
"ELALIO",2
"ELEMIA",2
"ELIA",2
"ELIFAS",2
"ELIMON",2
"ELIOT",2
"ELIPHAT",2
"ELLIS",2
