"Place","District(s)","Pop (cutoff 10k)"
"CHIGUMBWE",65,
"CHIGUTA",55,
"CHIGUYA","19;20",
"CHIGWERE",20,
"CHIHINGA",67,
"CHIHOMBO",54,
"CHIHUMBWE",54,
"CHIHUTU",49,
"CHIJAEZO",19,
"CHIJIBA",67,
"CHIJILO",48,
"CHIKADE",24,
"CHIKAGU",1,
"CHIKAKALA",43,
"CHIKAKU",66,
"CHIKALA",61,
"CHIKALAKASA",1,
"CHIKALALILA",1,
"CHIKALANGA",18,
"CHIKALAWA","22;24",
"CHIKALEMA",21,
"CHIKALONGA",21,
"CHIKAMBWA",63,
"CHIKANA",1,
"CHIKANDA","1;19;43",
"CHIKANDA MUCHILI",61,
"CHIKANDAMASALO",20,
"CHIKANDAMATIPA",38,
"CHIKANDULA",24,
"CHIKANGA","54;70",
"CHIKANKALA",24,
"CHIKANKATA",61,
"CHIKANTA",58,
"CHIKANZA",20,
"CHIKASA",39,
"CHIKAWALA",47,
"CHIKAZI",22,
"CHIKELE",43,
"CHIKENGE","49;54",
"CHIKESO",68,
"CHIKEZA",52,
"CHIKILE",43,
"CHIKIMBA",52,
"CHIKININA",67,
"CHIKOKA",67,
"CHIKOKI",67,
"CHIKOKO",32,
"CHIKOLA","4;8;45;53",
"CHIKOLENI",24,
"CHIKOLO","54;68",
"CHIKOLOLA",19,
"CHIKOLOLO",67,
"CHIKOLOMA","1;3;4",
"CHIKOLOMA MPUNDI",3,
"CHIKOMA",17,
"CHIKOMANGANA",22,
"CHIKOMANYA",61,
"CHIKOMBA","17;24",
"CHIKOMBE",46,
"CHIKOMENA",40,
"CHIKOMENE","19;21",
"CHIKOMESHU",32,
"CHIKOMO",54,
"CHIKONDE",43,
"CHIKONDOMBOLO",70,
"CHIKONGA","5;62",
"CHIKONIKA",6,
"CHIKONKOTA",1,
"CHIKONKOTO",1,
"CHIKONKWELO",49,
"CHIKONTA",18,
"CHIKONTWE",26,
"CHIKONWAKONWA",51,
"CHIKONZA",20,
"CHIKOPE",37,
"CHIKOPELA",45,
"CHIKOSHENI",12,
"CHIKOTA",54,
"CHIKOTE","42;66",
"CHIKOTI","13;41;42",
"CHIKOWULA",6,
"CHIKOYA",21,
"CHIKUBI",21,
"CHIKULENI",20,
"CHIKULONI",18,
"CHIKULU",46,
"CHIKULULU",13,
"CHIKUMBA","22;53",
"CHIKUMBE","1;19",
"CHIKUMBETA",6,
"CHIKUMBI","13;19;21;32;43",
"CHIKUNDA","24;38",
"CHIKUNDU",24,
"CHIKUNDULA",66,
"CHIKUNGA",67,
"CHIKUNGU",24,
"CHIKUNGULU",68,
"CHIKUNGWA","20;24",
"CHIKUNI","19;21",
"CHIKUNJIKA",54,
"CHIKUNJIKO",54,
"CHIKUNKA","5;62",
"CHIKUNKU",38,
"CHIKUNKULUKA",3,
"CHIKUNTA",42,
"CHIKUPILI",4,
"CHIKURGU",19,
"CHIKUSELA",42,
"CHIKUSI",20,
"CHIKUSU","2;3;5",
"CHIKUTA",17,
"CHIKUTE",20,
"CHIKUTU",20,
"CHIKUWE",19,
"CHIKUWELA",31,
"CHIKWA","18;46",
"CHIKWABA","5;53",
"CHIKWALE","20;24",
"CHIKWAMA",70,
"CHIKWANDA","19;20;22;38;42;43",
"CHIKWANGULA",47,
"CHIKWASHIA",23,
"CHIKWATA",67,
"CHIKWATULA",17,
"CHIKWAWE",22,
"CHIKWE",42,
"CHIKWEKE",44,
"CHIKWEKWE","37;45;67",
"CHIKWELE",61,
"CHIKWENDE",19,
"CHIKWETA",19,
"CHIKWINDA",21,
"CHILA","4;19",
"CHILALA",55,
"CHILAMA",55,
"CHILAMBALAMBA",1,
"CHILAMBI","3;50",
"CHILAMBULA",21,
"CHILAMBWE",39,
"CHILAMBWESHI",42,
"CHILAMO",37,
"CHILANDA","54;67;68",
"CHILANDO",24,
"CHILANDU",24,
"CHILANGA","38;47",
"CHILANGWA",46,
"CHILANTALI",13,
"CHILAO",21,
"CHILAPI",56,
"CHILAPUCHILA",3,
"CHILAPUKILA",3,
"CHILAWILA",24,
"CHILAWIRA",24,
"CHILAZI",21,
"CHILEKATA",24,
"CHILEKWA",24,
"CHILELEKA",54,
"CHILELEMBA",22,
"CHILELERE",22,
"CHILELI",49,
"CHILEMBA","22;62",
"CHILEMBE","23;24",
"CHILEMBO",38,
"CHILEMBWE","19;24",
"CHILEMU","66;70",
"CHILENDE",39,
"CHILENGA","3;19",
"CHILENGO",17,
"CHILENJE",35,
"CHILEPA",22,
"CHILESHYE",40,
"CHILETA",18,
"CHILEYA","24;52;59",
"CHILEYA KWALATA",59,
"CHILI",18,
"CHILIGWA",71,
"CHILIKA",23,
"CHILIKAMA",68,
"CHILIKILA",18,
"CHILIKITA",49,
"CHILIKWELA",1,
"CHILILA",68,
"CHILIMA","24;45",
"CHILIMANZI",64,
"CHILIMBANA",59,
"CHILIMBIKA",19,
"CHILIMBOYI",3,
"CHILIMINA",53,
"CHILINDE",42,
"CHILINDIRA",19,
"CHILINGO","48;54",
"CHILINGWA",42,
"CHILOA",21,
"CHILOBIA",13,
"CHILOKOTWE",18,
"CHILOLO",45,
"CHILOLWA",47,
"CHILOMBA",1,
"CHILONDE",56,
"CHILONDO",53,
"CHILONGA","33;71",
"CHILONGO","38;67",
"CHILONGOSHI","6;40",
"CHILONGOSI",38,
"CHILONGOZI",24,
"CHILONO",6,
"CHILOPO",47,
"CHILOSHA",13,
"CHILOWA","19;21",
"CHILOWE","20;24;47",
"CHILUBI",36,
"CHILUBIO",21,
"CHILUBULA",40,
"CHILUBULA MISSION",40,
"CHILUFYA",40,
"CHILUKUTA",48,
"CHILUKUTU",3,
"CHILUMBA-KOTULI",40,
"CHILUMBENI",21,
"CHILUMBI",55,
"CHILUMBU",49,
"CHILUMBULWA",53,
"CHILUNDA","24;54;66;68",
"CHILUNDU",24,
"CHILUNDUMUZI",42,
"CHILUNDUWE",18,
"CHILUPE",24,
"CHILUWALUWA",18,
"CHILUWE",17,
"CHILUZI",20,
"CHILWA","23;24",
"CHILWABUBE",5,
"CHILWANA",1,
"CHILYABA",37,
"CHILYABUFU",57,
"CHILYANGO",61,
"CHILYE",24,
"CHIMAFU SINGWENDI",23,
"CHIMAKULA",24,
"CHIMANDA",54,
"CHIMANGENI","23;24",
"CHIMANGO",21,
"CHIMANIMANI",2,
"CHIMANKATA",9,
"CHIMANSA",24,
"CHIMANYA",66,
"CHIMASA KANYANDA",6,
"CHIMASULA",20,
"CHIMATA","3;19",
"CHIMATE",24,
"CHIMBA","24;46",
"CHIMBABANTU",18,
"CHIMBAFE",18,
"CHIMBALA SEPA",13,
"CHIMBALANGANYI",54,
"CHIMBALI",56,
"CHIMBALONGE",4,
"CHIMBALU",20,
"CHIMBAMABWE",39,
"CHIMBAMAMBWE",39,
"CHIMBAMBWE",39,
"CHIMBANGALA",54,
"CHIMBANGU",43,
"CHIMBAVI",18,
"CHIMBELE",37,
"CHIMBERERE",21,
"CHIMBEWA",22,
"CHIMBILA",52,
"CHIMBINGA",67,
"CHIMBOLA",46,
"CHIMBOLO","21;38",
"CHIMBONDA",68,
"CHIMBONI",19,
"CHIMBUKUMA",4,
"CHIMBULULU",3,
"CHIMBUMBA",54,
"CHIMBUNA",20,
"CHIMBUNDU",54,
"CHIMBUTU",24,
"CHIMBUWA",20,
"CHIMBWA",22,
"CHIMBWALA",19,
"CHIMBWE","1;24;45",
"CHIMBWENDE","54;67",
"CHIMBWETA","67;70",
"CHIMBWI","23;24;41",
"CHIMCHERA",24,
"CHIMENA",5,
"CHIMESA",4,
"CHIMESE","27;43",
"CHIMETU",18,
"CHIMFESA",24,
"CHIMFWAKU",54,
"CHIMFWEMBE","40;47",
"CHIMGUWILO",19,
"CHIMIKA","4;67",
"CHIMIMBA",21,
"CHIMIMBE",21,
"CHIMINYA",19,
"CHIMITI",38,
"CHIMKANDA",24,
"CHIMNYONTO",21,
"CHIMOLA",43,
"CHIMOMBA","6;19",
"CHIMOMBO",19,
"CHIMOTA",20,
"CHIMOTO","5;7;24",
"CHIMPAKA",20,
"CHIMPALANYA",3,
"CHIMPALI",6,
"CHIMPAMPERA",24,
"CHIMPANAMA",3,
"CHIMPANGA",24,
"CHIMPECHE",1,
"CHIMPEKETE",32,
"CHIMPEMBE",26,
"CHIMPESIA",21,
"CHIMPETA",24,
"CHIMPHANAMBA",24,
"CHIMPHANGA",20,
"CHIMPHUTYA",24,
"CHIMPOLOMBWE",57,
"CHIMPOMPELA",3,
"CHIMPONDA",6,
"CHIMPUNGA",21,
"CHIMPUTI",20,
"CHIMSA",24,
"CHIMSAKASA",24,
"CHIMSALI",24,
"CHIMSENGA",37,
"CHIMSEO",21,
"CHIMSITU",17,
"CHIMTANGATI",19,
"CHIMTENGA",24,
"CHIMTENJE",19,
"CHIMTONDO",24,
"CHIMTOWE",24,
"CHIMTUKULO",20,
"CHIMTUTA",21,
"CHIMUDEKE",38,
"CHIMUGA",56,
"CHIMUKA",24,
"CHIMUKUZI",32,
"CHIMULA","23;42",
"CHIMULI",48,
"CHIMUMBA",21,
"CHIMUNKA",19,
"CHIMUNPHUNDU",24,
"CHIMUNSI",20,
"CHIMUPATI",6,
"CHIMUPI",66,
"CHIMUSALE",24,
"CHIMUSALI",24,
"CHIMUSANYA",32,
"CHIMUTANDA",43,
"CHIMUTI",19,
"CHIMUTONDA",43,
"CHIMUTWI",67,
"CHIMUZIMU",17,
"CHIMVILA",20,
"CHIMVULA",52,
"CHIMWALA",19,
"CHIMWAMTOWAO",21,
"CHIMWANGA",49,
"CHIMWARA",21,
"CHIMWASU",54,
"CHIMWELE",45,
"CHIMWEMWE",10,
"CHIMWENDO","17;20;22",
"CHIMWERE",24,
"CHIMWISHI",52,
"CHIMYAMAUNI",16,
"CHIMZIMU",19,
"CHIMZINGA",18,
"CHINA","6;52",
"CHINANGA",19,
"CHINANGO",25,
"CHINANGWA",4,
"CHINDA",22,
"CHINDAI",48,
"CHINDALO","1;3;32;57",
"CHINDAMBA","24;66",
"CHINDAMBU",43,
"CHINDELE","3;68",
"CHINDENDE",44,
"CHINDEWERE",32,
"CHINDEYA",19,
"CHINDIAMERA",21,
"CHINDIBOYI",42,
"CHINDILO",24,
"CHINDIMBA",55,
"CHINDIME",19,
"CHINDITU",24,
"CHINDO",42,
"CHINDOLA",19,
"CHINDRA",19,
"CHINDUBE",18,
"CHINDUMBA",54,
"CHINDUMBU",71,
"CHINDUYE",21,
"CHINDWALI",20,
"CHINEMBA",53,
"CHINENGA",3,
"CHINENGE",66,
"CHINENGU",71,
"CHINGA",37,
"CHINGABE",65,
"CHINGALABA",42,
"CHINGALI",40,
"CHINGALIWA",19,
"CHINGAMBO","42;45",
"CHINGAMBU","49;68",
"CHINGANDA",66,
"CHINGANGU","54;67",
"CHINGANYAMA","21;24",
"CHINGANZE",22,
