"Place","District(s)","Pop (cutoff 10k)"
"KASHARO",71,
"KASHATOKA","66;67",
"KASHATUKA",67,
"KASHAYA",1,
"KASHEBA",69,
"KASHEKE","54;66;67",
"KASHELE",52,
"KASHEMA",44,
"KASHEMBE",69,
"KASHENDA",53,
"KASHEPWA","67;68",
"KASHETA",1,
"KASHIBA",29,
"KASHIKISHI",30,
"KASHIMA",51,
"KASHIMANI",66,
"KASHIMBA",66,
"KASHIMBA SHITIMA",32,
"KASHIMBI","61;70",
"KASHINA",67,
"KASHINDA",44,
"KASHINGA",67,
"KASHINGILI",67,
"KASHINGWE",61,
"KASHINKA","5;40",
"KASHISHI",6,
"KASHITIKO",68,
"KASHITU",13,
"KASHIYA",32,
"KASHOKA",71,
"KASHONA",54,
"KASHONDO",53,
"KASHONKA",67,
"KASHULUKI",68,
"KASHUSHU",68,
"KASI",38,
"KASICHILA",47,
"KASIKASIKA",69,
"KASIMBA","51;66",
"KASIMBA KUTA",67,
"KASIMBILI",39,
"KASIMBIRI",39,
"KASINJE","17;22",
"KASINKULA",24,
"KASINSA",34,
"KASIP",5,
"KASISI MISSION",32,
"KASITO",70,
"KASOBE",1,
"KASOKA",68,
"KASOKO","33;61",
"KASOLA",4,
"KASOLO","32;45",
"KASOLWE",24,
"KASOMA",31,
"KASOMA BANGWEULU",31,
"KASOMA LWELA",27,
"KASOMPE","8;30;51",
"KASONDA","66;67",
"KASONDE","24;32;40",
"KASONDE-MUNYOLOLO",44,
"KASONEKA",54,
"KASONGO","43;52;66",
"KASONGOLE",39,
"KASONGOLWE",18,
"KASONI",6,
"KASONKA",40,
"KASONKOMONA","1;27;45",
"KASONKORE",21,
"KASONKOWAVIKA",43,
"KASONSO","5;21",
"KASONYA",45,
"KASOPA","20;38",
"KASOSOLWE",40,
"KASOSOMORE",21,
"KASOTE",21,
"KASOWA","38;68",
"KASUBA","31;40",
"KASUBETI CHIMBELANGA",6,
"KASUKA","69;71",
"KASUKO",6,
"KASUKUSUME",42,
"KASULA",5,
"KASUMA",47,
"KASUMBA",43,
"KASUMBI",66,
"KASUMPA",68,
"KASUMPABUWE",1,
"KASUNDA",39,
"KASUNDILO",24,
"KASUNGAMI",53,
"KASUNGULA",59,
"KASUNGULU",59,
"KASUNKA",3,
"KASUNU",13,
"KASUPA","67;68",
"KASUSU",24,
"KASUWA",24,
"KASWAILA",19,
"KASWANGA",38,
"KASWANKA",38,
"KASYASYA",38,
"KATABA","1;31;59;69;71",
"KATABA MASAMBA",1,
"KATAKO",67,
"KATAKOMBE",20,
"KATAKULA",71,
"KATAKWE",24,
"KATALA",49,
"KATALI",54,
"KATALILA",23,
"KATAMBALA",18,
"KATAMBO","19;58;69",
"KATAMPULA",68,
"KATAMVU",52,
"KATANAMINA",71,
"KATANDA","24;59;67",
"KATANDALA",21,
"KATANDI",22,
"KATANEKWA",70,
"KATANGA","5;38",
"KATANGALI",66,
"KATANGALIKA",18,
"KATANGU",67,
"KATANINO",13,
"KATANYA","45;67",
"KATAPA",17,
"KATAPAONGA",22,
"KATAPASI",59,
"KATAPAZI",59,
"KATAPELE",20,
"KATATA","12;42",
"KATAWA","6;19",
"KATAYA",66,
"KATAZI",42,
"KATE KISENGA",6,
"KATEBULA","27;46",
"KATECHE",19,
"KATEKE",67,
"KATEKWE",24,
"KATELA",49,
"KATELE",45,
"KATELEKA",51,
"KATELELE",11,
"KATEMA","19;20;24;71",
"KATEMALINGA",19,
"KATEMBA",52,
"KATEMBO",70,
"KATEMBWANO",67,
"KATEMO",24,
"KATENDA",24,
"KATENEKWA",69,
"KATENGA",68,
"KATENGO",67,
"KATENTHA",20,
"KATEPA",45,
"KATEPU",54,
"KATETANDIMBU",49,
"KATEWE",23,
"KATHUMBA",20,
"KATIATA",66,
"KATIBA",72,
"KATIBUNGA",37,
"KATIKULULO",6,
"KATIKUMBULA",68,
"KATILAMBINGA",51,
"KATIMA MASOHZI",50,
"KATIMA MOLILO",71,
"KATIMBA",22,
"KATIMBIRA",20,
"KATIMO",21,
"KATINTA",19,
"KATINTI",57,
"KATINYA",46,
"KATITA",68,
"KATO",3,
"KATOBAMULA",3,
"KATOBO","20;57",
"KATOHA",54,
"KATOLA",12,
"KATOLO","67;70",
"KATOMBORA",59,
"KATONDWE",34,
"KATONGA","27;69",
"KATONGA KUTA",71,
"KATONGI",5,
"KATONGO","37;48;54;66;67;68;71",
"KATONGWE",19,
"KATONYO",45,
"KATOPEKA",21,
"KATOTA","6;20;24;26;49;54;67",
"KATOTI",69,
"KATOTOLA",67,
"KATOWA",1,
"KATOWAMULA",3,
"KATOZI",47,
"KATSEKULA",19,
"KATUBA","1;49",
"KATUBULA",3,
"KATUKAWUCHU",38,
"KATUKULA","66;67",
"KATUKWE",3,
"KATULU",54,
"KATUMBA","6;43;55;67",
"KATUMBI",18,
"KATUMBULA",48,
"KATUMWA",70,
"KATUNDU","42;71",
"KATUNDULA",39,
"KATUNGO",24,
"KATUNGU",66,
"KATUNGWE",5,
"KATUPISHA",67,
"KATUSE",72,
"KATUSHA",27,
"KATUSI","66;69",
"KATUTA","6;22;24;41",
"KATUTA CHISHINGA",41,
"KATUTA KAMPEMBA",29,
"KATUWA",19,
"KATUWAULA",6,
"KATUZI",22,
"KATWA",40,
"KATWALA",71,
"KATWAMAZILA",59,
"KATWE",45,
"KATWIKAMBULU",68,
"KATWIMBI",25,
"KATWIZI",22,
"KATYETYE",38,
"KAUBO",53,
"KAUDI",20,
"KAULA","5;53;57;66",
"KAULO",24,
"KAULU","69;70",
"KAUMBA","53;68;69",
"KAUNDA","24;45;47;66;67",
"KAUNDU",66,
"KAUNDULA","67;68",
"KAUNGA","38;70",
"KAUNGI",21,
"KAUNGO",72,
"KAUNGULUKA",40,
"KAUNKU",18,
"KAUSHA",67,
"KAUSHENDA",67,
"KAUSWE",21,
"KAUTA",20,
"KAUWALA",68,
"KAUWE",59,
"KAVALA",17,
"KAVATULA",68,
"KAVETA",54,
"KAVIALE",22,
"KAVIALI",22,
"KAVICHECHE",18,
"KAVILAWA",17,
"KAVILI",68,
"KAVIMBA",22,
"KAVIMBA MUKUTA",32,
"KAVULASIYA",24,
"KAVUMBU",52,
"KAVUNDALA",20,
"KAVUNGU",66,
"KAVUU",21,
"KAVWATA",63,
"KAWAILE",67,
"KAWALALA",20,
"KAWALELO",69,
"KAWALENGA",24,
"KAWALIKA",22,
"KAWALIZE",22,
"KAWALIZHI",63,
"KAWAMA","2;10;15;16",
"KAWAMA MISSION",26,
"KAWAMBA","6;24",
"KAWAMBE",19,
"KAWANA","3;50;72",
"KAWANDA",67,
"KAWANDU",18,
"KAWANGA","24;38;68",
"KAWANGO",19,
"KAWANGU",54,
"KAWANJE",20,
"KAWANZI",22,
"KAWATIKA",21,
"KAWAWA",68,
"KAWAYA","6;67;68",
"KAWAZA","20;21;24",
"KAWECHE",22,
"KAWELE",54,
"KAWEMBA",24,
"KAWEMBWE",37,
"KAWENA",44,
"KAWENDA","24;31",
"KAWENDAMA",19,
"KAWENDE",69,
"KAWENDWA",25,
"KAWENGERE",24,
"KAWENYA","66;68",
"KAWERE",24,
"KAWERE STORES",24,
"KAWESHA",67,
"KAWEWA",22,
"KAWILA",39,
"KAWILIMA",19,
"KAWILIZYE",47,
"KAWIMBE",42,
"KAWINA","69;72",
"KAWINDILO",47,
"KAWINGA","6;21",
"KAWISHA","49;50;68",
"KAWIZA",21,
"KAWIZUTA",21,
"KAWOCHA",54,
"KAWOKO",21,
"KAWONDE",38,
"KAWONDO",50,
"KAWOYE",32,
"KAWUMBU",54,
"KAWUNDA",39,
"KAWUNJE",21,
"KAYABO",58,
"KAYALA",69,
"KAYAMA","59;66;70;71",
"KAYAMBA",69,
"KAYAMBI",67,
"KAYAMBI MISSION",46,
"KAYAMBILA","49;51;67",
"KAYANGA",66,
"KAYANZA",19,
"KAYANZYA",24,
"KAYARA",21,
"KAYATWA",66,
"KAYAWA",24,
"KAYAWE",66,
"KAYEKEZELO",72,
"KAYELU",67,
"KAYENDA",49,
"KAYEREKA",21,
"KAYEWELA",53,
"KAYILA",38,
"KAYIMBONYI",21,
"KAYIMFWA",24,
"KAYINGA",55,
"KAYINGU",57,
"KAYIPAMBE",42,
"KAYISOLELE",38,
"KAYITWA",70,
"KAYIWA",42,
"KAYO",72,
"KAYOKA","66;68;71",
"KAYOKOMONA",67,
"KAYOLA","13;67",
"KAYOMBA","39;53",
"KAYOMBO","66;70;71",
"KAYOWELA",42,
"KAYOYA",71,
"KAYOYO","22;68",
"KAYUBA",70,
"KAYULA",18,
"KAYUMO",68,
"KAYUNDU",70,
"KAYUNI",53,
"KAYUWA","54;69",
"KAYWALA","66;69",
"KAYWAYO",66,
"KAZAKAMA",68,
"KAZALA",59,
"KAZAMBA",54,
"KAZANDWE",22,
"KAZEKULU",67,
"KAZEMBA",54,
"KAZEMBAZEMBA",53,
"KAZEMBE","25;47;68",
"KAZEVA",68,
"KAZEZE","67;69",
"KAZHILA",68,
"KAZHINA",67,
"KAZIKA",20,
"KAZILAKAMBAKA",68,
"KAZILIMANI",24,
"KAZILONDA",18,
"KAZIMBWE",21,
"KAZIMOTO","42;45",
"KAZIMULI",19,
"KAZINGA",42,
"KAZIPINDE",24,
"KAZOKA",57,
"KAZOWO","20;24",
"KAZULE",20,
"KAZUMBA","42;54",
"KAZUMBI",21,
"KAZUNGO","68;70",
"KAZUNGULA",59,
"KAZWILA",42,
"KAZWIRA",42,
"KEBOBO",6,
"KEEMBE",1,
"KEESWA",5,
"KEKE",68,
"KEKELWA",70,
"KELA",42,
"KELONGWA",50,
"KEMBA",1,
"KEMBE","61;62",
"KENA",24,
"KENABANYAMA",71,
"KENAN",47,
"KENAN MUTAMBO",38,
"KENGELUKA",32,
"KENI",20,
"KENNETH",45,
"KENONGWA",50,
"KENTILIO CHABALA",6,
"KESI",72,
"KETA",66,
"KETTLE KUKA",6,
"KETULU CHISESA",6,
"KETUTU CHISESA",6,
"KEYAYA",46,
"KHOMOPELE",71,
"KHOSWE",19,
"KHOZA",20,
"KIALUBILO",67,
"KIFUBWA",53,
"KIKANA",53,
"KIKONGE",51,
"KIKUYU",48,
"KIMINA",49,
"KINGEBE",67,
"KINJI",66,
"KINKULULU",6,
"KINYA",68,
"KIPULWA",30,
"KIPULWE",30,
"KISAMBA",30,
"KISESA",39,
"KISHITA",5,
"KISIMISI",24,
"KISUKULU",30,
"KIYUMBI",53,
"KLEMBA",71,
"KOKANA",67,
"KOKILE",68,
"KOKO",45,
"KOKOWE",32,
"KOLOKO",24,
"KOLONDO",59,
"KOLONGO",23,
"KOLOWA",68,
"KOLOWANDA",19,
"KOLWE",24,
"KOMA","59;71",
"KOMAKOMA",45,
"KOMANYANA",59,
"KOMBA NIYABANYA",42,
"KOMBALANGA",24,
"KOMBE","3;38",
"KOMBELELO",67,
"KOMBELWA","66;68",
"KOMBI",13,
"KOMBWE",1,
"KOMESHA",5,
"KOMESHIA",6,
"KOMINA",46,
"KOMPELI",71,
"KONDA",69,
"KONDU",66,
"KONDWELANI",20,
"KONGA",69,
"KONGOLIAZALA",68,
"KONGWA","66;67",
"KONI","4;43",
"KONKAISHYA",1,
"KONKOLA","4;7;39",
"KONKONI",19,
"KONKWA",35,
"KOOLWE",59,
"KOPA","4;43",
"KOPAMBA",5,
"KORAKOMUTU",21,
"KOROPETE",21,
"KOSAKWENDA",18,
"KOSAM","42;47",
"KOSAMU KAPONDA",6,
"KOSSAM KASHILA",6,
"KOSSAM MALUNDILA",6,
"KOSSAM NJOLA",6,
"KOTA",22,
"KOTATI",6,
"KOTAVU",63,
"KOTITO",42,
"KOWA",42,
"KOWELA",20,
"KOWONGO",3,
"KOWOSHYA",18,
"KOYANA",69,
"KOYONGWE",24,
"KOZA",22,
"KOZO",66,
"KUAKUA",69,
"KUBAMA",67,
"KUBEMBA",49,
"KUCHAYA",52,
"KUCHEKA",54,
"KUFALALA",72,
"KUFANGA","68;70",
"KUFELA",69,
"KUFOMA",24,
"KUFUKA",66,
"KUFUKEKA",72,
"KUFWAKUDULU",64,
"KUHAHOMA",66,
"KUKETA",66,
"KUKWERE",24,
"KULANGA",20,
"KULELWA",31,
"KULEMA",66,
"KULI",24,
"KULIANONKONDE",18,
"KULIKULI",21,
"KULIMA",53,
"KULIMAKULIMA",69,
"KULOYA",66,
"KULUBUZA",71,
"KULUKULU",54,
"KULWAMALA",69,
"KUMBILUMBILU",68,
"KUMBOMBO",18,
"KUMBU",40,
"KUMBULA",32,
"KUMBUYU",24,
"KUMBWE",12,
"KUMINA",67,
"KUMOYO",66,
"KUMUCHANGA",15,
"KUMWE",20,
"KUNAMAKUNI",72,
"KUNDA","6;21;22",
"KUNDALANGE",38,
"KUNDAMFUMU",27,
"KUNDENDAMA",66,
"KUNDENDEMA",68,
"KUNDIMAMBWE",42,
"KUNGA","54;66",
"KUNGAKUNGA",68,
"KUNGU","40;67;68",
"KUNGULU SCHOOL",5,
"KUNGWE",18,
"KUNGWI",25,
"KUNJENJA",68,
"KUOAHA",19,
"KUPELEKA",68,
"KUSHANDO",71,
"KUSHWAMARENA",59,
"KUSIRAKAZI",17,
"KUTA",38,
"KUTIBIWA",69,
"KUTOHA",54,
"KUTULA",66,
"KUTWI",62,
"KUULI",66,
"KUVINDEKELA",69,
"KUWAYA",68,
"KUWILU",70,
"KUYAWA",66,
"KUYENGWA",66,
"KUYEWA",66,
"KUYEWANA",66,
"KUYUMBA",26,
"KUZANA",19,
"KUZUMBA",54,
"KWABILA",67,
"KWACHA","8;10;15",
"KWAKWAYA",32,
"KWALA",68,
"KWALAELA",69,
"KWALE",1,
"KWALEYELA",70,
"KWALOMBOTA",68,
"KWANDERA",19,
"KWANGU",45,
"KWANGWA",1,
"KWANJA",19,
"KWASHIMBISA",68,
"KWATALIE",69,
"KWAWA",19,
"KWEKISA",69,
"KWELEKA",69,
"KWELI",66,
"KWEMBULA",71,
"KWENANI",71,
"KWENDA",70,
"KWERANI",17,
"KWEREWERE",20,
"KWIBISA",70,
"KWIUNGU",54,
"KWOYOYISHA",71,
"KYACHT",4,
"KYEMA",66,
"LABAN",19,
"LABAN SINKALA",47,
"LABWASHI",43,
"LAIJA MWAPA",6,
"LAILO",6,
"LAILO MUSOSHYA",6,
"LAIMO KULUTWA",6,
"LALAFUTA",51,
"LAMAK MIYA",6,
"LAMBA",53,
"LAMBO",38,
"LAMBWE",43,
"LAMEK","6;38",
"LAMEK KAILA",38,
"LAMEK NDAPATWA",6,
"LAMEKA",21,
"LAMEKA KALUNGANSHIKU",6,
"LAMUKWENA",66,
"LANDA",6,
"LANDANI CHIMUKUMBI",6,
"LANGA",20,
"LANGASHE",26,
"LANGISI",24,
"LASALO",42,
"LASALO MUMBA",6,
"LASALO NGOSA",6,
"LASENGO",6,
"LASOA MUSONDA",6,
"LASON MUSONDA",6,
"LAULI CHIMPALI",6,
"LAULI KABAMBA",6,
"LAZALO","38;42",
"LAZALO MWAPE",6,
"LAZALO TINDI",6,
"LAZAO",56,
"LAZARALERE",21,
"LAZARUS",38,
"LEALII","70;72",
"LEALUI",69,
"LEASHIMBA",71,
"LEDMAN KAMANGA",22,
"LELEKA",67,
"LEMBA",45,
"LEMBALEMBA",42,
"LEMBANI",6,
"LEMBERA",6,
"LEMBO",6,
"LEMELANI",24,
"LEMI",20,
"LENGE",54,
"LENGELENGELE",70,
"LENGWA",1,
"LEO MAKOTI",42,
"LEPAI",69,
"LESA",14,
"LESONI CHANGWE",6,
"LEVI","22;24",
"LEVI CHITO",11,
"LEVI KAPULE",6,
"LEVI MWANGO",6,
"LEWANIKA",69,
"LEWIS",2,
"LIAFOKI",66,
"LIAFWIKA",70,
"LIAKA","67;71",
"LIAKANGISA",66,
"LIALUI",69,
"LIAMANA",69,
"LIAMBAI",71,
"LIAMBAMAITA",69,
"LIAMBANGO",69,
"LIAMBEZI",68,
"LIAMBIKA",71,
"LIAMBILA",68,
"LIAMBOMBOLA","68;70",
"LIAMBULULA",70,
"LIAMENE",71,
"LIAMINE",70,
"LIAMU",69,
"LIAMUNGA",70,
"LIANDA",67,
"LIANDAMU",68,
"LIANDE",67,
"LIANDE KUTA",69,
"LIANGANGA",69,
"LIANGATI",70,
"LIANGONGA",69,
"LIANGUMBULA",54,
"LIANGUMUKA",70,
"LIANYUNGA",72,
"LIAONGA",66,
"LIAPUKUMUKA",67,
"LIASHIMBA",70,
"LIAULA",48,
"LIAVWAYA",71,
"LIAWAWA",68,
"LIAWELO",69,
"LIBAKA",71,
"LIBALA","35;54",
"LIBAMBAKI",3,
"LIBANDA",68,
"LIBANGA",69,
"LIBATI",69,
"LIBEBE",71,
"LIBILINGOMA",66,
"LIBINDIKA",66,
"LIBINGA",67,
"LIBINGI",67,
"LIBOMA",70,
"LIBUKU",71,
"LIBUMBO",69,
"LIBUMBU","66;69",
"LIBUMINA",67,
"LIBUSHA",1,
"LIBUWA",66,
"LIBUYA",67,
"LICHAHA",71,
"LICHILANDA",66,
"LIDIBA",67,
"LIEBELA","66;67",
"LIEBETI",69,
"LIEMBANE",69,
"LIEMPI",33,
"LIENDA",48,
"LIENDO",68,
"LIEZI",67,
"LIFUKA",49,
"LIFUMBELA",71,
"LIFUMBO",67,
"LIFUMPA",32,
"LIFUNA",67,
"LIFUNGA",48,
"LIFUTI","66;71",
"LIFWEBA","67;71",
"LIFWEMBO",70,
"LIFWIKA",54,
"LIGANAKE",68,
"LIGOMO",22,
"LIHAMPALI",68,
"LIHAPWA",66,
"LIHOLO",68,
"LIHUWA",66,
"LIHWE",66,
"LIKA",69,
"LIKABO",68,
"LIKALABA",54,
"LIKANDA","32;71",
"LIKANDAPULA","68;69",
"LIKANDO","66;70",
"LIKANYIKA",54,
"LIKAPAI",68,
"LIKATALELO",71,
"LIKAULA",66,
"LIKE",66,
"LIKEKA","68;69",
"LIKENE",70,
"LIKETOKETO",70,
"LIKILA",54,
"LIKISHI","66;67;69;70",
"LIKOKOTO",71,
"LIKOLAMBUYU",70,
"LIKOMA",66,
"LIKOMBO",69,
"LIKOMENO","2;48;67;68",
"LIKONDE",68,
"LIKONDWAMA","70;72",
"LIKONGWE","19;22",
"LIKOSI","67;70",
"LIKUBANGWA",59,
"LIKUBANGWE",71,
"LIKUBI",68,
"LIKUBULA",67,
"LIKUBWE",71,
"LIKUKA","1;72",
"LIKUKELA",68,
"LIKUKU",1,
"LIKULA",67,
"LIKULUNGA","66;68;71",
"LIKULUNU",68,
"LIKULUSHITU",72,
"LIKUMBI",69,
"LIKUMUMU",68,
"LIKUNDE",71,
"LIKUNGAMWA",69,
"LIKUNGU",54,
"LIKUNGUMBENJE",67,
"LIKUNYENDO",67,
"LIKUPE",66,
"LIKUYU",48,
"LIKWAKA",67,
"LIKWANYA","68;70",
"LIKWASHI",54,
"LIKWASI",68,
"LIKWAYA",1,
"LIKWENGA",70,
"LIKWENGO",70,
"LILAKAMULILO",67,
"LILALIYI",69,
"LILAMANYO",69,
"LILANDA","54;67",
"LILAPO",72,
"LILAYI",35,
"LILEKELEKE",54,
"LILEMA","48;54;67;68",
"LILENGE",68,
"LILETE",68,
"LILIACHI",70,
"LILIANDI",6,
"LILO",70,
"LILOMBO",49,
"LILOMU",70,
"LILONDO","66;68",
"LILONGA",71,
"LILULI",59,
"LILUME",71,
"LILUNDA",54,
"LILUNDU",69,
"LILUNGWA",66,
"LILWELO",69,
"LIMA",35,
"LIMATA",67,
"LIMBALI",69,
"LIMBAMBA",66,
"LIMBAMBALA","71;72",
"LIMBAMBO",67,
"LIMBANGALA",68,
"LIMBANGO","54;68",
"LIMBAO",66,
"LIMBEMBE",68,
"LIMBILIMBILI",68,
"LIMBOMA",12,
"LIMBU",66,
"LIMBUMBU",70,
"LIMBUNDA",66,
"LIMBUSHA",13,
"LIMBUTI",71,
"LIMBWAMBWA",66,
"LIMBWEMBWELE",49,
"LIMBWETE",66,
"LIMBWI",68,
"LIMPALI",66,
"LIMULUNGA",69,
"LIMUNI",4,
"LIMUNWANI",71,
"LIMWANYA","54;66",
"LIMWETA",66,
"LINANGA",68,
"LINDAMBE",67,
"LINDEO",66,
"LINDUMBI",48,
"LINGAMBA",68,
"LINGANGA","70;71",
"LINGELA",54,
"LINGELENGENDA",48,
"LINGISONI",6,
"LINGOJI",48,
"LINGOMBA",66,
"LINGOMBE",69,
"LINGONSA",66,
"LINGOTI",67,
"LINGULUNDE",68,
"LINGUMBA",67,
"LINGUMBWANGA",68,
"LINGUNDA","54;67",
"LINGUNDANGUNDA",69,
"LINGWABO",67,
"LINGWALALA",72,
"LINGWAVO",48,
"LINGWAYA",67,
"LINGWE",72,
"LINGWELENDE",48,
"LINOKA",66,
"LINOMA",3,
"LINYAMANAPENGO",66,
"LINYANGUTA",72,
"LINYELA",68,
"LINYENO",70,
"LINYETA",68,
"LINYOTWA",66,
"LINYUNGA",67,
"LINYUNGU",72,
"LINYUNGUTA",70,
"LINZUMA",60,
"LIOBOLA",67,
"LIOKWE",70,
"LIOLOLA",67,
"LIOMA",72,
"LIOMBA",69,
"LIOMBOKO",67,
"LIOMOKELA",66,
"LIONDO",22,
"LIONGUMUKA",70,
"LIPAA",69,
"LIPABUKA",69,
"LIPALANA",68,
"LIPALILE",66,
"LIPANDA",51,
"LIPANGA",66,
"LIPATOKI",69,
"LIPAZULA",48,
"LIPELA",69,
"LIPEMBA",68,
"LIPEPO","66;68",
"LIPESA",54,
"LIPIMILI",69,
"LIPOBA","67;69",
"LIPOBO",67,
"LIPOKE",66,
"LIPOLELO",69,
"LIPOTA",68,
"LIPU",69,
"LIPULA","67;68",
"LIPUMBU",68,
"LIPUMPU",71,
"LIPWA",66,
"LISAKWA",68,
"LISALILA",48,
"LISAMBA",54,
"LISANGU",54,
"LISAPA",71,
"LISEKA",69,
"LISELE",68,
"LISESE",54,
"LISETELE",66,
"LISHAHALA",69,
"LISHALI",68,
"LISHEMBA",69,
"LISHIBI",71,
"LISHINDIKA",67,
"LISHIPAMUKONGWA",68,
"LISHO",69,
"LISHOLO",68,
"LISHOMWA","66;69;70;71",
"LISHUKA",69,
"LISHUKULA",70,
"LISHUMI",71,
"LISIMA",70,
"LISOMONA",1,
"LISONGWE",32,
"LISUKA",33,
"LISULO",70,
"LITABA",67,
"LITAKAMULILO",67,
"LITALATALA",1,
"LITAMBO",69,
"LITANGAJI",54,
"LITAUMBI",72,
"LITAWA",70,
"LITEBELE",69,
"LITEMPO",4,
"LITENGU",67,
"LITETA",1,
"LITETELE",69,
"LITIA",69,
"LITIANYANA",72,
"LITIBA",54,
"LITOFE",70,
"LITOLI",4,
"LITOLILO",68,
"LITOMA",70,
"LITONDO",68,
"LITONGA",66,
"LITONGI",67,
"LITONGO",70,
"LITOYA",57,
"LITULILO","66;70",
"LITUMBU",69,
"LITUNDA",72,
"LITUNGI",69,
"LITUTILA",69,
"LIUHA",67,
"LIULA",67,
"LIUMA",69,
"LIUMBILA",54,
"LIUMBO",1,
"LIUME",70,
"LIUMI",66,
"LIUNGA",69,
"LIVAJI",49,
"LIVANDEKO",54,
"LIVITICUS",38,
"LIVUMINA",67,
"LIVUNE",71,
"LIWAKALA","66;69;70",
"LIWALE",71,
"LIWANGA","68;72",
"LIWANIKA",3,
"LIWEMA","67;68;71",
"LIWENA KAMUTI",66,
"LIWENDE","66;68",
"LIWILU","66;70",
"LIYAMINE",71,
"LIYANENO",69,
"LIYANGULA",4,
"LIYEMBANI",67,
"LIYEO",69,
"LIYIMBA",66,
"LIYUMA",69,
"LIYUNYI KUTA",67,
"LIZAZI",59,
"LIZEUZEU",67,
"LIZULO KOZO",66,
"LOANGA",70,
"LOANJA",71,
"LOAZAMBA KUTA",71,
"LOBATI",38,
"LOBEMBA",6,
"LOCHA",67,
"LOCHINVAR RANCH",62,
"LOLOMA","49;67",
"LOMAS MULENGA",6,
"LOMBELOMBE",67,
"LOMBWA",21,
"LOMYONGA",42,
"LONBWE",66,
"LONDAYILA",47,
"LONGAKUFIKA",38,
"LONGO",1,
"LONGWAIT",33,
"LONGWANI","7;47",
"LONGWE",18,
"LONGWECHASEKA",21,
"LOPO",19,
"LOSENDA",69,
"LOSHI",5,
"LOT",38,
"LOTA NAKATABAILA",6,
"LOTI",21,
"LOVI",19,
"LOWA KANOTI KUTA",68,
"LOWA NKUMBO",68,
"LOWE",24,
"LUAMALA",53,
"LUAMBULA",52,
"LUAMPA KUTA",67,
"LUAMPA MISSION",67,
"LUANCHUMA",68,
"LUANDA","20;21;70",
"LUANGABA",6,
"LUANGE",67,
"LUANGENI",19,
"LUANGO",53,
"LUANGULA",69,
"LUANGWA","2;10",
"LUANJA",21,
"LUANO","4;52",
"LUAPULA","9;30",
"LUATEMBO",69,
"LUBABA","1;62",
"LUBALANSUK",57,
"LUBANGO",59,
"LUBANJE",55,
"LUBASI","66;69;70;71",
"LUBEBE",27,
"LUBEMBA","37;62",
"LUBENI",37,
"LUBESHA","12;67",
"LUBEYA",6,
"LUBEYA MUTALE",6,
"LUBINDA","66;69;70;71;72",
"LUBINDA SUPI",71,
"LUBINDATANGA",69,
"LUBOMBO",61,
"LUBONGA",69,
"LUBOSA",6,
"LUBOSHE",69,
"LUBUILA",12,
"LUBUKA",27,
"LUBUKO",27,
"LUBULI",26,
"LUBUNDA",29,
"LUBUNGU",5,
"LUBUSHI MISSION",40,
"LUBUTO","9;10;16",
"LUBWA","10;35;37",
"LUCANANA",72,
"LUCHANANA",70,
"LUCHEMBE",43,
"LUCHEMBI",6,
"LUCHENA",6,
"LUCHESHI",14,
"LUCHEWE",46,
"LUDI",24,
"LUEMBE",23,
"LUENA",41,
"LUENGA",6,
"LUETE",66,
"LUFU",19,
"LUFUBU",26,
"LUFUNDA",68,
"LUFUNGA",67,
"LUFUNGULA",57,
"LUFWANYAMA",12,
"LUFWELELA",3,
"LUFWENDO",66,
"LUHILA","54;67",
"LUI",70,
"LUINGU",41,
"LUJI",19,
"LUKA",22,
"LUKA CHISENGA",6,
"LUKA MUTENDA",6,
"LUKAKA",37,
"LUKAKESHA",4,
"LUKALANYA",69,
"LUKALE MISENGO",40,
"LUKAMA","66;69",
"LUKANGU",69,
"LUKATA","32;67",
"LUKAU",68,
"LUKENDO",53,
"LUKESHA","66;68",
"LUKEZU",19,
"LUKHALO",19,
"LUKISHO",67,
"LUKOBO",58,
"LUKOLWE MISSION",48,
"LUKOMENO",71,
"LUKONA",66,
"LUKONGA","69;70",
"LUKOSHI",4,
"LUKOTA",42,
"LUKUKU",71,
"LUKULO",69,
"LUKULU","68;71",
"LUKUMALI",39,
"LUKUNGU",70,
"LUKUNGWE",9,
"LUKUTAIKA",5,
"LUKUWA",66,
"LUKWATE",67,
"LUKWESA",45,
"LUKWESO",19,
"LUKWEZA",45,
"LUKWIPA",32,
"LULAMBA","6;8",
"LULAMBO",69,
"LULAWILO",53,
"LULEMBO",6,
"LULEMBWANA",68,
"LULENGA","47;53;72",
"LULIA",72,
"LUMAI",67,
"LUMAMBA",62,
"LUMANGO",67,
"LUMANGWA",23,
"LUMANO","5;67;70",
"LUMATA",7,
"LUMBANGO",69,
"LUMBILA","6;38",
"LUMBITA",38,
"LUMBO","69;72",
"LUMBUNDU",66,
"LUMEKANSIE",6,
"LUMENA",13,
"LUMETA","48;54",
"LUMI",42,
"LUMIMBA",21,
"LUMINGA",66,
"LUMINGU",1,
"LUMINO",66,
"LUMONO",67,
"LUMPUMA",12,
"LUMUMBA",11,
"LUMUNI",67,
"LUMWANA MISSION",52,
"LUMWAYA",3,
"LUMWAYA LUKALE",3,
"LUMWAYO",32,
"LUNANGWA",39,
"LUNCHENGA",18,
"LUNDA","5;13",
"LUNDAZI",21,
"LUNDOKA",67,
"LUNELA",67,
"LUNENGE",66,
"LUNGA","37;38",
