Name,Relative Likelihood
BEENZU,2
BELA,2
BELEMU,2
BISESA,2
BLACKSON,2
BROWN,2
BUKOKO,2
BVUMA,2
BWACHA,2
CHAABA,2
CHABOOKA,2
CHAGONA,2
CHAKOWELA,2
CHALO,2
CHAMI,2
CHAMOTO,2
CHANGUFU,2
CHANGULA,2
CHANGWE,2
CHANSHYA,2
CHASUNKWA,2
CHEEMBE,2
CHEEMBELA,2
CHENDA,2
CHIBANGU,2
CHIBAWE,2
CHIBI,2
CHIBIZWA,2
CHIBONA,2
CHIDWAYI,2
CHIFUKA,2
CHIILE,2
CHIIMBA,2
CHIKAMPA,2
CHIKANDA,2
CHIKANGE,2
CHIKANYA,2
CHIKASA,2
CHIKOMBE,2
CHIKONDE,2
CHIKUMBA,2
CHIKUMBI,2
CHIKUNI,2
CHIKUSE,2
CHIKUWE,2
CHIKWAMA,2
CHIKWEMBE,2
CHILOMBA,2
CHILUKWA,2
CHILWA,2
CHIMANGO,2
CHIMANKATA,2
CHIMBULU,2
CHIMBWALI,2
CHIMENYA,2
CHIMFWEMBE,2
CHIMWALA,2
CHIMWAYA,2
CHIMWEMWE,2
CHINDUMBA,2
CHINGA,2
CHINGUMBE,2
CHINYANIKA,2
CHINYIMBA,2
CHIPAILA,2
CHIPALO,2
CHIPANGO,2
CHIPANI,2
CHIPASHA,2
CHIPEPO,2
CHIPILI,2
CHIPOTE,2
CHIPOYA,2
CHIPUNZA,2
CHIPUTA,2
CHIRISERI,2
CHISALE,2
CHISAPI,2
CHISELA,2
CHISEMBELE,2
CHISENGELE,2
CHISHAKA,2
CHISO,2
CHISOMPE,2
CHISOPA,2
CHISOWA,2
CHISUMPA,2
CHITALU,2
CHITALUKA,2
CHITAMBO,2
CHITETA,2
CHITI,2
CHIVUBWE,2
CHIVUNDIKA,2
CHIWALA,2
CHIYESU,2
CHIYONGWE,2
CHIYUMBA,2
CHIZONGO,2
CHIZUMA,2
CHOKO,2
CHONA,2
CHOOBE,2
CHOOLWE,2
CHOONYA,2
CHOZA,2
CHUBA,2
CHUMA,2
CHUNDA,2
CHUNI,2
CHUPA,2
CHUULA,2
DAMBE,2
DIMAKWENDA,2
DINA,2
DUMBE,2
DYAUNKA,2
ESTHER,2
FARAO,2
FUMPA,2
FUNDULU,2
FUNDULUKA,2
FYAKUPAPA,2
GALUFU,2
GARDNER,2
GOREDEMA,2
GUMBO,2
GUTINYU,2
HABASIMBI,2
HABENE,2
HABWANGABWANGA,2
HACHISUKWE,2
HACHOBE,2
HADENDA,2
HAJAYA,2
HAKALANGA,2
HAKALEMBE,2
HAKAPAMBA,2
HAKOMA,2
HALUNYONA,2
HAMAAMBA,2
HAMABIZE,2
HAMAINZA,2
HAMAKALA,2
HAMAKWEMBO,2
HAMALENGWA,2
HAMATWI,2
HAMAUNDU,2
HAMEJA,2
HAMIYANDA,2
HAMPANDE,2
HAMPONDO,2
HAMUJAMBA,2
HAMUMBA,2
HAMUMBU,2
HAMUTUNDA,2
HAMUYABA,2
HAMWEEMBA,2
HAMWEETE,2
HANAKAMBA,2
HANAMWIINGA,2
HANDUWE,2
HANEMBA,2
